depth,fid_qiskit,fid_model,delta_f
8,0.6395901030237039,0.2557935591342083,-0.3837965438894956
5,0.996,0.8293652480000001,-0.16663475199999989
8,0.6197874927529008,0.8745301730304004,0.2547426802774996
8,0.8572442059730481,0.8498063763327811,-0.0074378296402669575
7,0.23726202112000008,0.77137143156736,0.5341094104473599
11,0.43846431689813387,0.8814143999999999,0.44295008310186607
11,0.92541189214208,0.93265472,0.0072428278579200756
6,0.9802225971118075,0.9920159999999997,0.011793402888192195
10,0.3652765694372583,0.6428176650862952,0.27754109564903695
10,0.9038592040571163,0.8778887424,-0.02597046165711625
9,0.988095744,0.996,0.007904255999999998
9,0.453066185236266,0.9325747199999996,0.4795085347637336
10,0.5150643966817376,0.25244389223807606,-0.2626205044436616
11,0.5900538456276757,0.9037106698941035,0.3136568242664278
4,0.6720197803549326,0.3000000000000004,-0.3720197803549322
7,0.25732595930118735,0.24544808030586251,-0.011877878995324831
5,0.9880957439999999,0.996,0.00790425600000011
6,0.6420105943974751,0.2865338880000003,-0.3554767063974748
6,0.9400000000000001,0.9400000000000001,0.0
6,0.9880957439999999,0.996,0.00790425600000011
8,0.24702393600000008,0.7149062110719673,0.4678822750719672
10,0.30797026118004805,0.5621688060546193,0.2541985448745712
9,0.9724278665136695,0.9841116165119994,0.011683749998329884
11,0.007645925176686754,0.23956106203139965,0.2319151368547129
9,0.8840000000000001,0.8840000000000001,0.0
8,0.0002380851200000006,0.10000000000000019,0.09976191488000019
5,0.9182265433660404,0.799536298525481,-0.11869024484055934
10,0.5344978814925468,0.44070719999999985,-0.09379068149254699
6,0.907295739527816,0.8902919516397727,-0.017003787888043242
11,0.34176145143304515,0.9110602831067858,0.5692988316737406
8,0.6714531514337102,0.2976127744000004,-0.3738403770337098
9,0.9254118921420802,0.9203205653024263,-0.005091326839653854
11,0.9400000000000001,0.9400000000000001,0.0
6,0.9880957439999999,0.996,0.00790425600000011
6,0.6644692579324122,0.29650472421673696,-0.3679645337156752
7,0.9880957439999999,0.9959999999999998,0.007904255999999887
10,0.992032,0.992032,0.0
4,0.9920319999999997,0.9920319999999997,0.0
9,0.8938956141888605,0.833459881621708,-0.06043573256715251
11,0.9841433610239999,0.992016,0.007872638976000101
10,0.9400000000000001,0.7850816000000002,-0.1549183999999999
5,0.25000000000000006,0.020049792243385597,-0.22995020775661446
8,0.049963409855651876,3.955955168803275e-36,-0.049963409855651876
7,0.9290480844800001,0.93632,0.00727191551999995
9,0.6395901030237038,0.2843290858685729,-0.35526101715513086
4,0.9654369766845307,0.8232287247564624,-0.1422082519280683
10,0.8317440000000003,0.8317440000000003,0.0
5,0.9362400000000001,0.9362400000000001,0.0
8,0.8601509688125468,0.8654860038177558,0.005335035005208932
10,0.5444979212090787,0.8347778913702614,0.2902799701611827
9,0.09685318174120919,0.0026821447145835117,-0.09417103702662567
7,0.9179884582460408,0.9325747200000004,0.014586261753959606
6,0.9290480844800002,0.93632,0.007271915519999839
7,0.9647106789650173,0.988047936,0.023337257034982684
5,1.0,0.8340160000000001,-0.1659839999999999
6,1.0,0.7850816000000002,-0.21491839999999984
9,0.004600478583821047,0.4475154277466518,0.44291494916283075
8,0.9724278665136699,0.9542596391618582,-0.018168227351811672
5,0.5872100026401044,0.2664960000000003,-0.3207140026401041
8,0.606624263960721,0.27560846848000037,-0.33101579548072063
9,0.5815104939645223,0.2658595072000004,-0.31565098676452186
6,0.48003860805236803,0.7360756495963118,0.25603704154394374
8,0.9841433610240002,0.9920160000000003,0.007872638976000101
11,0.06087420711876043,0.01183264,-0.04904156711876043
6,0.8736770500608,0.8736770500608,0.0
11,0.24702393600000006,0.02334507690718799,-0.22367885909281207
4,0.92533189214208,0.9325747200000001,0.0072428278579200756
7,0.5251776557543314,0.15715755048960042,-0.36802010526473095
7,0.8604837311780695,0.8738236612608,0.013339930082730489
