------------------------------------------------
Starting Stage 1: The Bootcamp
Date: Mon Jan  5 15:25:25 EST 2026
------------------------------------------------
Loading config from qcgpt3/configs/big_entangle_stage1_bootcamp.json
Created run directory: model_checkpoints/qcgpt3_big_entangle_stage1_bootcamp
Building dataloader with max_depth=8
[HighPerformanceDataset] Configured for 500000 samples. QDPE-accelerated.
Starting training from epoch 1 to 100
Epoch 056 | T_Loss: 1.8876 (loss_sup: 1.8421 | loss_ent_teacher: 0.0023) | V_Loss: 1.7848 (loss_sup: 1.7380 | loss_ent_teacher: 0.0021) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.39e-04 | LR_Dec: 1.39e-04
Epoch 057 | T_Loss: 1.8765 (loss_sup: 1.8321 | loss_ent_teacher: 0.0022) | V_Loss: 1.7781 (loss_sup: 1.7313 | loss_ent_teacher: 0.0022) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.37e-04 | LR_Dec: 1.37e-04
Epoch 058 | T_Loss: 1.8669 (loss_sup: 1.8233 | loss_ent_teacher: 0.0022) | V_Loss: 1.7646 (loss_sup: 1.7199 | loss_ent_teacher: 0.0021) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.35e-04 | LR_Dec: 1.35e-04
Epoch 059 | T_Loss: 1.8570 (loss_sup: 1.8144 | loss_ent_teacher: 0.0021) | V_Loss: 1.7625 (loss_sup: 1.7185 | loss_ent_teacher: 0.0021) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.33e-04 | LR_Dec: 1.33e-04
Epoch 060 | T_Loss: 1.8485 (loss_sup: 1.8065 | loss_ent_teacher: 0.0021) | V_Loss: 1.7533 (loss_sup: 1.7087 | loss_ent_teacher: 0.0021) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.31e-04 | LR_Dec: 1.31e-04
Epoch 061 | T_Loss: 1.8389 (loss_sup: 1.7976 | loss_ent_teacher: 0.0021) | V_Loss: 1.7409 (loss_sup: 1.6982 | loss_ent_teacher: 0.0020) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.29e-04 | LR_Dec: 1.29e-04
Epoch 062 | T_Loss: 1.8300 (loss_sup: 1.7894 | loss_ent_teacher: 0.0020) | V_Loss: 1.7386 (loss_sup: 1.6956 | loss_ent_teacher: 0.0020) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.27e-04 | LR_Dec: 1.27e-04
Epoch 063 | T_Loss: 1.8222 (loss_sup: 1.7820 | loss_ent_teacher: 0.0020) | V_Loss: 1.7302 (loss_sup: 1.6879 | loss_ent_teacher: 0.0020) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.25e-04 | LR_Dec: 1.25e-04
Epoch 064 | T_Loss: 1.8141 (loss_sup: 1.7742 | loss_ent_teacher: 0.0020) | V_Loss: 1.7229 (loss_sup: 1.6799 | loss_ent_teacher: 0.0020) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.23e-04 | LR_Dec: 1.23e-04
Epoch 065 | T_Loss: 1.8066 (loss_sup: 1.7673 | loss_ent_teacher: 0.0020) | V_Loss: 1.7160 (loss_sup: 1.6745 | loss_ent_teacher: 0.0020) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.21e-04 | LR_Dec: 1.21e-04
Epoch 066 | T_Loss: 1.7988 (loss_sup: 1.7596 | loss_ent_teacher: 0.0020) | V_Loss: 1.7093 (loss_sup: 1.6677 | loss_ent_teacher: 0.0019) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.19e-04 | LR_Dec: 1.19e-04
Epoch 067 | T_Loss: 1.7911 (loss_sup: 1.7528 | loss_ent_teacher: 0.0019) | V_Loss: 1.7059 (loss_sup: 1.6663 | loss_ent_teacher: 0.0018) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.17e-04 | LR_Dec: 1.17e-04
Epoch 068 | T_Loss: 1.7842 (loss_sup: 1.7462 | loss_ent_teacher: 0.0019) | V_Loss: 1.6958 (loss_sup: 1.6550 | loss_ent_teacher: 0.0019) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.15e-04 | LR_Dec: 1.15e-04
Epoch 069 | T_Loss: 1.7773 (loss_sup: 1.7394 | loss_ent_teacher: 0.0019) | V_Loss: 1.6883 (loss_sup: 1.6488 | loss_ent_teacher: 0.0019) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.13e-04 | LR_Dec: 1.13e-04
Epoch 070 | T_Loss: 1.7699 (loss_sup: 1.7326 | loss_ent_teacher: 0.0019) | V_Loss: 1.6917 (loss_sup: 1.6521 | loss_ent_teacher: 0.0018) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.10e-04 | LR_Dec: 1.10e-04
Epoch 071 | T_Loss: 1.7639 (loss_sup: 1.7267 | loss_ent_teacher: 0.0019) | V_Loss: 1.6832 (loss_sup: 1.6423 | loss_ent_teacher: 0.0019) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.08e-04 | LR_Dec: 1.08e-04
Epoch 072 | T_Loss: 1.7578 (loss_sup: 1.7206 | loss_ent_teacher: 0.0019) | V_Loss: 1.6732 (loss_sup: 1.6347 | loss_ent_teacher: 0.0018) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.06e-04 | LR_Dec: 1.06e-04
Epoch 073 | T_Loss: 1.7508 (loss_sup: 1.7143 | loss_ent_teacher: 0.0018) | V_Loss: 1.6710 (loss_sup: 1.6312 | loss_ent_teacher: 0.0018) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.04e-04 | LR_Dec: 1.04e-04
Epoch 074 | T_Loss: 1.7446 (loss_sup: 1.7084 | loss_ent_teacher: 0.0018) | V_Loss: 1.6657 (loss_sup: 1.6275 | loss_ent_teacher: 0.0017) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.02e-04 | LR_Dec: 1.02e-04
Epoch 075 | T_Loss: 1.7374 (loss_sup: 1.7015 | loss_ent_teacher: 0.0018) | V_Loss: 1.6566 (loss_sup: 1.6176 | loss_ent_teacher: 0.0017) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.00e-04 | LR_Dec: 1.00e-04
Epoch 076 | T_Loss: 1.7313 (loss_sup: 1.6962 | loss_ent_teacher: 0.0018) | V_Loss: 1.6545 (loss_sup: 1.6164 | loss_ent_teacher: 0.0017) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 9.79e-05 | LR_Dec: 9.79e-05
Epoch 077 | T_Loss: 1.7255 (loss_sup: 1.6902 | loss_ent_teacher: 0.0018) | V_Loss: 1.6441 (loss_sup: 1.6051 | loss_ent_teacher: 0.0017) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 9.58e-05 | LR_Dec: 9.58e-05
Epoch 078 | T_Loss: 1.7202 (loss_sup: 1.6854 | loss_ent_teacher: 0.0017) | V_Loss: 1.6398 (loss_sup: 1.6008 | loss_ent_teacher: 0.0017) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 9.37e-05 | LR_Dec: 9.37e-05
Epoch 079 | T_Loss: 1.7148 (loss_sup: 1.6801 | loss_ent_teacher: 0.0017) | V_Loss: 1.6431 (loss_sup: 1.6044 | loss_ent_teacher: 0.0017) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 9.16e-05 | LR_Dec: 9.16e-05
Epoch 080 | T_Loss: 1.7096 (loss_sup: 1.6751 | loss_ent_teacher: 0.0017) | V_Loss: 1.6365 (loss_sup: 1.5988 | loss_ent_teacher: 0.0017) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 8.95e-05 | LR_Dec: 8.95e-05
